graph6,bd_absorption_time,db_absorption_time
443f7b0a,56.333333333333385,11.333333333333337
4443770a,53.35509380931038,17.779499322617927
44437b0a,42.76516444008356,13.95244902622197
4445770a,29.56730665158604,17.571496282864373
44456b0a,42.15109418768585,16.347562220580382
44457b0a,32.447437987762484,14.93687844255077
4446770a,20.197586726998473,16.791666666666654
44467b0a,24.19585561497329,14.9798534798535
44516f0a,46.3297872340427,24.201680672268857
4451770a,39.70223241382362,21.479033670895603
44517b0a,29.473187973693484,17.37728937728938
4455570a,19.99999999999998,19.99999999999998
4455770a,20.97998425509158,17.762036901533907
44557b0a,22.135715034387918,16.322908899125828
4454770a,31.549282738609865,17.141362181077845
44547b0a,29.494074955709024,15.565154317125286
44567b0a,20.10331418393161,15.89422631046003
445d770a,18.1884591594556,17.015626774862252
445d7b0a,17.21820420177442,16.49857835008938
445e7b0a,17.2232657734252,16.026047460140926
447e7b0a,16.000000000000057,16.000000000000057
